codigo,descricao
2.02.01.01.07,Rescisões (Escritório)
2.02.01.01.08,Horas Extra (Escritório)
2.02.01.01.09,Multa FGTS (Escritório)
2.02.01.02.01,Vale Transporte (Escritório)
2.02.01.02.02,Vale Alimentação (Escritório)
2.02.01.02.03,Seguro de Vida (Escritório)
2.02.01.02.04,Plano de Saúde (Escritório)
2.02.01.02.05,Medicina e Segurança do Trabalho (Escritório)
2.02.01.02.06,PPR - Plano de Participação de Resultados
2.02.01.02.07,Gratificação / Bônus  (Escritório)
2.02.01.02.99,(-) Benefícios
2.02.01.03.01,Cursos e Treinamentos (Escritório)
2.02.01.03.02,Incentivo a formação (Escritório)
2.02.01.03.99,(-) Treinamentos
2.02.01.04.01,(-) Retenção Contribuição Sindical (Escritório)
2.02.01.04.02,Pagamento Contribuição Sindical (Escritório)
2.02.02.01,Pró Labore (Escritório)
2.02.02.02,Distribuição de Lucro (Escritório)
2.02.03.01,Serviços Técnicos Internos
2.02.03.02,Gratificação / Bônus
2.02.03.99,(-) Reembolso de Despesas Administrativas
2.02.05.01.01,"Cópias, Impressos e Plotagens (Escritório)"
2.02.05.01.02,Correios e Telégrafos (Escritório)
2.02.05.01.03,Material de Expediente (Escritório)
2.02.05.01.04,Impressos e Gráficos (Escritório)
2.02.05.01.05,Copa e Limpeza (Escritório)
2.02.05.01.06,Cursos e Treinamentos (Escritório)
2.02.05.01.07,"Livros, Jornais e Periódicos (Escritório)"
2.02.05.01.08,Anuidades e Mensalidades (Escritório)
2.02.05.01.09,"CREA, Sinduscom (Escritório)"
2.02.05.01.10,Associações de Classe (Escritório)
2.02.05.01.11,Sindical Patronal (Escritório)
2.02.05.01.12,Despesas com Viagens (Escritório)
2.02.05.01.13,Locomoção e Pedágios  (Escritório)
2.02.05.01.14,Alimentação e Eventos Externos (Escritório)
2.02.05.01.15,Doações e Patrocínios (Escritório)
2.02.05.01.16,Presentes e Brindes (Escritório)
2.02.05.01.17,Confraternização (Escritório)
2.02.05.01.18,Outras Despesas Administrativas (Escritório)
2.02.05.01.19,Impostos a restituir
2.02.05.01.20,Decoração (Escritório)
2.02.05.01.21,Bens de Pequeno Valor (Escritório)
2.02.05.02.01,Água e Esgoto (Escritório)
2.02.05.02.02,Energia Elétrica (Escritório)
2.02.05.02.03,Seguros (Escritório)
2.02.05.02.04,Aluguéis (Escritório)
2.02.05.02.05,Pagamento Condomínio (Escritório)
2.02.05.02.06,Pagamento IPTU Imóveis Alugados (Escritório)
