codigo,descricao,ref_grupo,grupo,cod_conta,conta_financeira,unidade
1,Taxa de administração da obra,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.01.18,Outras Despesas Administrativas (Escritório),vb
29,Materiais de escritório,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.01.03,Material de Expediente (Escritório),mes
38,Despesas com confraternizações,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.01.17,Confraternização (Escritório),vb
42,Tarifas bancárias,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.09.01,Despesas Bancárias,vb
113,Envio de documentos - correios,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.01.02,Correios e Telégrafos (Escritório),vb
166,Software,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.04.03,Licenças de Uso de Software (Escritório),vb
8444,Fretes,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.06.01,Serviços de Terceiros,vb
8445,Imprevistos e contingências,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.07.01,Insumos Aplicados à Obra,vb
8559,Despesas com campanhas,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.03.02.10,Ações Promocionais,vb
8560,Despesas com comissões,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.03.07.01,Comissão de Corretagem - Venda unidade,vb
8561,Despesas com corretagem,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.01.04,Corretagens,vb
8563,Despesas com premiações,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.03.03.02,Premiações,vb
8568,Alojamento de Colaborador,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.08.02,Aluguéis (Obra),mes
8671,Passagem,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.01.18,Outras Despesas Administrativas (Escritório),un
8765,Despesas c/ Hoteis,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.08.04,Despesas com Viagens (Obra),vb
9264,Despesas com convenções,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.03.03.03,Convenção,vb
9269,Despesas com alimentação (comercial),6,"Terreno, Despesas Administrativas e Custos Indiretos",2.03.06.03.01,Alimentação e Produtos - Comercial,vb
9270,Despesas com serviços terceirizados (comercial),6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.06.01,Serviços de Terceiros,vb
9271,Locação de máquinas e equipamentos,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.03.06.03.04,"Locação de Equip.,Máq.,Utensílios,Mob. - Comercial",vb
9272,Locação de utensílios e mobiliários (comercial),6,"Terreno, Despesas Administrativas e Custos Indiretos",2.03.06.03.04,"Locação de Equip.,Máq.,Utensílios,Mob. - Comercial",vb
9274,Locação de espaço para stand / plantão de vendas / casa conceito,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.03.06.03.03,Locação de Espaço - Comercial,vb
9278,Pesquisa,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.03.01.01,Pesquisa,vb
9280,Decoração de datas comemorativas,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.03.08.01.03,Decoração Stand,vb
9281,Book arquitetura e design,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.13.17,NÃO USAR - Propaganda e Publicidade (Escritório),vb
9297,Anuidades e mensalidades,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.01.08,Anuidades e Mensalidades (Escritório),vb
9298,Despesas com entidades de classe,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.01.09,Sinduscom (Escritório),vb
9299,Despesas com sindicato patronal,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.01.11,Sindical Patronal (Escritório),mes
9301,Despesas com alimentação (administrativo),6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.01.14,Alimentação e Eventos Externos (Escritório),vb
9302,Doações,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.01.15,Doações e Patrocínios (Escritório),vb
9303,Multas de veículos,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.03.01,Multa Veículos (Escritório),vb
9304,Despesas com emplacamento e IPVA,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.03.02,Emplacamento e IPVA (Escritório),vb
9305,Serviço de Copa e Limpeza,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.06.02,Serviço de Limpeza,vb
9306,Serviço de jardinagem,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.06.03,Serviço de Jardinagem,vb
9307,Serviço de manutenções gerais,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.06.04,Serviço de Manutenções Gerais,vb
9308,Serviço de manutenção de saneamento,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.06.04,Serviço de Manutenções Gerais,vb
9309,Serviço de manutenção de ar-condicionado,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.06.04,Serviço de Manutenções Gerais,vb
9310,Antecipação de distribuição de lucros,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.08.01,Antecipação de Distribuição de Lucros,vb
9311,Descontos concedidos,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.09.02,Descontos Concedidos,vb
9312,Juros de mora,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.09.03,Juros de Mora,vb
9313,Despesas bancárias,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.09.01,Despesas Bancárias,vb
9314,Multas,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.09.05,Multas,vb
9315,Variação monetária,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.09.06,Variação Monetária,vb
9316,Juros bancários,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.09.07,Juros Bancários,vb
9317,Aplicações financeiras,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.09.01,Despesas Bancárias,vb
9318,Reembolso de despesas financeiras,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.01.18,Outras Despesas Administrativas (Escritório),vb
9319,Taxa de gerenciamento da obra,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.10.01.01,Taxa de gerenciamento de Obra,vb
9320,Despesas com estoque de unidades,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.10.02.05,Manutenções em Unidades de Estoques,vb
9623,Medicamentos Emergência,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.03.05,Taxas e Despesas,vb
9824,Uniformes Profissionais,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.07.01,Insumos Aplicados à Obra,vb
9837,Insumos de entrega futura ,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.06.01,Adiantamento aos Fornecedores,vb
9850,Colchão Mola,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.07.01,Insumos Aplicados à Obra,un
9858,Kit cama e banho ,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.07.01,Insumos Aplicados à Obra,un
10094,Alimentação e Eventos Externos,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.01.14,Alimentação e Eventos Externos (Escritório),vb
10153,Gerenciamento e administração de equipe ,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.08.11,Taxa de Administração de Obra  (Obra),mes
10480,"Alugueis, Condomínios e IPTU (escritório)",6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.02.04,Aluguéis (Escritório),mes
10501,Locação de sala comercial,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.03.06.03.03,Locação de Espaço - Comercial,mes
10504,Alimentação e eventos internos,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.01.17,Confraternização (Escritório),vb
10718,Locação de endereço fiscal,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.01.18,Outras Despesas Administrativas (Escritório),mes
10731,Telefonia/Internet,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.04.01,Internet (Escritório),mes
10982,Serviço de levantamento e cadastro de inventário patrimonial,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.01.18,Outras Despesas Administrativas (Escritório),vb
11049,Despesa comercial (geral),6,"Terreno, Despesas Administrativas e Custos Indiretos",2.03.06.03.01,Alimentação e Produtos - Comercial,vb
11050,Manutenção de maquete,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.06.01,Serviços de Terceiros,vb
11059,Serviço de cadastro de orçamento e desembolso no ERP Sienge,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.01.18,Outras Despesas Administrativas (Escritório),vb
11207,Outras despesas administrativas,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.01.18,Outras Despesas Administrativas (Escritório),vb
11243,Manutenção de patrimônio,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.12.01,Pagamento de Despesas Administrativas,vb
11267,Equipe de atendimento cliente,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.03.06.02.02,"Serviços (Recepção, Promotor) - Cliente",mes
11268,Equipe de vendas,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.03.06.02.02,"Serviços (Recepção, Promotor) - Cliente",vb
11271,Manutenção da sede comercial,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.03.08.01.09,Manutenção do Stand,vb
11272,Conservação e limpeza da sede comercial,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.03.08.01.09,Manutenção do Stand,vb
11274,Taxa de condomínio,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.03.08.01.10,"Despesas de Consumo (Água, Luz, Telefone) Stand",vb
11275,Despesas com hospedagem de site,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.03.04.02,Site institucional,vb
11280,Assessoria de Tecnologia da Informação,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.05.05,Assessoria de Informática,mes
11292,Placa de Patrimônio ,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.01.18,Outras Despesas Administrativas (Escritório),un
11316,Prestação de serviço de assessoria interna - All Resort,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.03.01,Serviços Técnicos Internos,mes
11318,Prestação de serviço de assessoria interna - W All,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.05.01,Serviços Técnico de Terceiros Internos,mes
11320,Prestação de serviço de assessoria interna - All Wert Vendas,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.03.01,Serviços Técnicos Internos,mes
11381,Prestação de serviço - Variáveis Comercial ,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.03.01,Serviços Técnicos Internos,mes
11521,Seguro Patrimonial,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.02.03,Seguros (Escritório),vb
11523,Serviços de Correios/Entregas/Motoboy/Transporte,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.01.02,Correios e Telégrafos (Escritório),mes
11527,Cópias e Reproduções,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.01.01,"Cópias, Impressos e Plotagens (Escritório)",vb
11531,Despesas com Anuidade de Conselho Profissional,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.01.09,Sinduscom (Escritório),ano
11535,Serviço de Dedetização ,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.06.04,Serviço de Manutenções Gerais,vb
11536,Serviço de Manutenção e Conservação de Móveis e Decoração,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.06.04,Serviço de Manutenções Gerais,vb
11539,Serviços de Análise Cadastral,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.05.04,Assessorias e Consultorias,mes
11541,Software/Plataformas - Mensalidades,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.04.03,Licenças de Uso de Software (Escritório),mes
11545,Telefonia Móvel,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.04.02,Telefone (Escritório),mes
11547,Locação e Manut. de Impressoras,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.04.05,Impressoras,mes
11549,"Taxas, Alvará, Licenças Órgãos Públicos",6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.07.01,Cartórios e Registros (Escritório),vb
11553,Registros em Órgãos (Junta Comercial/Prefeitura/RF),6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.07.01,Cartórios e Registros (Escritório),vb
11632,Locação de depósito (storage),6,"Terreno, Despesas Administrativas e Custos Indiretos",2.03.06.01.03,Locação de Espaço - Golf,mes
11699,Benefícios - Vale Alimentação,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.04.02.02,Vale Alimentação,mes
11779,Gerenciamento de Compras e Implantação,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.01.18,Outras Despesas Administrativas (Escritório),un
11802,Transporte fretado,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.06.01,Serviços de Terceiros,mes
12041,Produtos para revenda proshop,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.15.01,Mercadorias para Revenda,un
12125,Fretes de Terceiros,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.06.01,Serviços de Terceiros,m2
12407,Fretes,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.06.01,Serviços de Terceiros,m3
12446,Fretes de Terceiros,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.06.01,Serviços de Terceiros,t
12523,Produtos em comodato proshop,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.15.01,Mercadorias para Revenda,un
13015,Serviço de lavanderia,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.01.18,Outras Despesas Administrativas (Escritório),vb
13755,Royalties Leadbetter,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.09.02,Descontos Concedidos,vb
13756,Serviço de Relações Públicas,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.05.04,Assessorias e Consultorias,un
13766,Serviço de profissional de educação,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.05.04,Assessorias e Consultorias,vb
3,Aluguel de terreno para canteiro/acesso,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.08.02,Aluguéis (Obra),mês
7,Locação de caçamba de entulhos,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.06.04,Serviços de Descarte e Entulhos,mes
45,Despesas com vizinhança,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.08.05,Serviços e Materiais de Consumo e Conserv (Obra),vb
240,Serviço terceirizado de vigilância,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.06.05,Vigilância e Monitoramento,mês
7401,Banheiro químico - Locação,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.08.05,Serviços e Materiais de Consumo e Conserv (Obra),mes
8129,Placa de obra,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.08.05,Serviços e Materiais de Consumo e Conserv (Obra),un
8392,Container - Locação,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.06.03,Locação de Máquinas e Equipamentos,mes
8393,Container - Aquisição,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.05.02,Aquisição de Máquinas e Equipamentos,un
8627,Tenda,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.08.05,Serviços e Materiais de Consumo e Conserv (Obra),un
8633,Ligação provisória,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.07.01,Insumos Aplicados à Obra,vb
8638,Manutenção de canteiro,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.07.01,Insumos Aplicados à Obra,un
8672,Locação de Tendas,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.08.05,Serviços e Materiais de Consumo e Conserv (Obra),vb
8771,Lona estruturada para tapume,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.07.01,Insumos Aplicados à Obra,m
9181,Mobilização,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.08.05,Serviços e Materiais de Consumo e Conserv (Obra),vb
9325,"Fitilho Plástico, Amarrilho",6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.08.05,Serviços e Materiais de Consumo e Conserv (Obra),m
9492,Serviço de Dedetização e  Controle de Pragas,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.06.01,Serviços de Terceiros,vb
9755,Administração de equipe,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.06.02,Empreitada de Mão de Obra Terceiros,vb
10154,Desmobilização,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.08.05,Serviços e Materiais de Consumo e Conserv (Obra),vb
10162,Kit de emergência ambiental,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.08.05,Serviços e Materiais de Consumo e Conserv (Obra),vb
10179,Instalações provisórias,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.08.05,Serviços e Materiais de Consumo e Conserv (Obra),vb
10271,Ventilador,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.08.05,Serviços e Materiais de Consumo e Conserv (Obra),un
10272,Purificador de água,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.08.05,Serviços e Materiais de Consumo e Conserv (Obra),un
11424,Taxa de deslocamento,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.07.01,Insumos Aplicados à Obra,un
11794,Box para armazenagem,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.06.03,Locação de Máquinas e Equipamentos,un
12072,Central de Resíduos,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.07.01,Insumos Aplicados à Obra,vb
12074,Material para ligações provisórias hidrossanitárias,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.08.05,Serviços e Materiais de Consumo e Conserv (Obra),vb
12077,Material para Subestação Provisória,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.08.05,Serviços e Materiais de Consumo e Conserv (Obra),vb
12080,Material para Instalação Provisória de  ligações provisórias de elétricas,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.08.05,Serviços e Materiais de Consumo e Conserv (Obra),vb
4,Alvará,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.02.03.01,Aprovação - Serviços e Taxas - Crea,vb
5,ARTs,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.01.09,Sinduscom (Escritório),vb
135,Habite-se,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.02.03.01,Aprovação - Serviços e Taxas - Crea,vb
139,Impostos,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.04.05,IRRF - Imposto de Renda Retido na Fonte,vb
162,Licença ambiental,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.02.03.01,Aprovação - Serviços e Taxas - Crea,vb
219,Taxas de aprovação de projetos,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.02.03.01,Aprovação - Serviços e Taxas - Crea,vb
244,Despesas com incorporação,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.03.05,Taxas e Despesas,vb
8227,Despesas com cartório,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.07.01,Cartórios e Registros (Escritório),vb
8454,Ligação definitiva,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.02.03.01,Aprovação - Serviços e Taxas - Crea,vb
9287,Termo de verificação de obra (TVO),6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.02.03.01,Aprovação - Serviços e Taxas - Crea,vb
9295,Despesas com editais,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.03.03,Editais,vb
9618,Sindicato Patronal,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.01.11,Sindical Patronal (Escritório),mes
10194,"Insumo provisório, para devolução de NFe",6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.01.18,Outras Despesas Administrativas (Escritório),vb
10368,Aquisição de índices construtivos,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.01.09,Outorgas Onerosas,vb
11127,Despesas com escritura,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.03.01,Cartório e Registro,vb
11129,I.T.B.I.,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.01.11,ITBI,vb
11132,IPTU/ITR,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.01.05,IPTU/ITR,vb
11150,Registro de imóveis,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.03.01,Cartório e Registro,vb
11152,Assessoria jurídica para incorporação,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.03.09,Assessoria Jurídica para Incorporação,vb
11154,Convenções e regimentos internos,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.03.09,Assessoria Jurídica para Incorporação,vb
11234,Taxas bancárias,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.04.11,Taxas Diversas,vb
11256,Custos operações bancárias,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.09.01,Despesas Bancárias,vb
11258,Juros Operações bancárias,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.09.07,Juros Bancários,vb
11260,Amortização operações bancárias,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.09.01,Despesas Bancárias,vb
11399,*Taxas e impostos,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.04.11,Taxas Diversas,vb
11410,Registros,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.07.01,Cartórios e Registros (Escritório),vb
14,Assessoria Contábil,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.05.02,Assessoria Contábil,mes
8222,Assessoria jurídica,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.05.01,Assessoria Jurídica,vb
8223,Assessoria de recrutamento e seleção,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.05.03,Assessoria de Recrutamento e Seleção,vb
8583,Assessoria de marketing,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.05.04,Assessorias e Consultorias,vb
8584,Pesquisa de Mercado,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.05.04,Assessorias e Consultorias,vb
10316,Serviços de Consultorias,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.05.04,Assessorias e Consultorias,vb
10549,Auditoria,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.05.04,Assessorias e Consultorias,vb
11221,Assessoria de gestão condominial,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.05.04,Assessorias e Consultorias,vb
11223,Assessoria de planejamento e orçamento	,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.05.04,Assessorias e Consultorias,vb
11225,Assessoria de qualidade - Manual de entrega,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.05.04,Assessorias e Consultorias,vb
11227,Assessoria financeira,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.05.04,Assessorias e Consultorias,vb
11229,Assessoria em gestão,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.05.04,Assessorias e Consultorias,vb
11384,Assessoria e Consultoria de ESG,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.05.04,Assessorias e Consultorias,vb
11682,Consultoria de processos para o setor de personalização,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.05.04,Assessorias e Consultorias,un
11683,Consultoria de processos para o setor de produto,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.05.04,Assessorias e Consultorias,un
11801,Assessorias e Consultorias,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.05.04,Assessorias e Consultorias,vb
12098,Mão de Obra - Gestão ambiental e resíduos,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.06.01,Serviços de Terceiros,mes
12963,Visita Técnica,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.05.04,Assessorias e Consultorias,vb
20,Consultorias técnicas,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.05.04,Assessorias e Consultorias,vb
159,Laudos e vistorias,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.02.05.05.04,Assessorias e Consultorias,vb
161,Levantamento topográfico,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.01.08,Topografia (Pré Obra),vb
184,Modelagem BIM,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.02.01.01,Projetos Civis,vb
186,Programas e projetos de segurança do trabalho,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.06.01,Serviços de Terceiros,vb
187,Projeto arquitetônico,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.02.01.01,Projetos Civis,vb
188,Projeto de canteiro de obras,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.02.01.01,Projetos Civis,vb
190,"Projeto estrutural (concreto, metálica e alvenaria estrutural)",6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.02.01.01,Projetos Civis,vb
191,Projeto de fachadas,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.02.01.01,Projetos Civis,vb
192,Projeto de fundação,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.02.01.01,Projetos Civis,vb
193,Projeto de instalações de gás,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.02.01.01,Projetos Civis,vb
194,Projeto de impermeabilização,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.02.01.01,Projetos Civis,vb
195,Projeto de instalações de climatização e ventilação mecânica,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.02.01.01,Projetos Civis,vb
197,Projeto de instalações hidrossanitárias,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.02.01.01,Projetos Civis,vb
198,Projeto de prevenção e proteção contra incêndios,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.02.01.01,Projetos Civis,vb
199,Projeto de arquitetura de interiores,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.02.01.01,Projetos Civis,vb
201,Projeto de paisagismo,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.02.01.01,Projetos Civis,vb
204,Projeto de drenagem,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.02.01.03,Projetos de Infraestrutura,vb
215,Sondagem do terreno,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.06.01,Serviços de Terceiros,vb
7113,Serviços de topografia,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.06.01,Serviços de Terceiros,mes
7274,Projeto campo de golfe,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.02.01.03,Projetos de Infraestrutura,mes
7276,Análises Laboratoriais,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.06.01,Serviços de Terceiros,vb
7288,Projeto de irrigação,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.02.01.03,Projetos de Infraestrutura,vb
8147,Relatório técnico de supressão vegetal,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.06.01,Serviços de Terceiros,vb
8148,Acompanhamento técnico para supressão vegetal,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.06.01,Serviços de Terceiros,vb
8192,Projeto de urbanismo,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.02.01.03,Projetos de Infraestrutura,vb
8193,Projeto CFTV,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.02.01.01,Projetos Civis,vb
8194,Projeto de alvenaria estrutural,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.02.01.01,Projetos Civis,vb
8195,Projeto de vedação,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.02.01.01,Projetos Civis,vb
8196,Projeto de comunicação visual,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.02.01.01,Projetos Civis,vb
8197,Projeto de contenções,6,"Terreno, Despesas Administrativas e Custos Indiretos",2.01.02.01.01,Projetos Civis,vb
